-69.46419297	-31.84778169	236
-70.01926272	-32.01747759	237
>		238
-64.30727877	-31.84368207	239
-64.63395251	-32.47130674	240
>		241
-68.61984808	-31.78910681	242
-68.69979797	-32.08606355	243
>		244
-69.14788704	-31.75108065	245
-69.46419297	-31.84778169	246
>		247
-68.89710348	-32.33699712	248
-69.14788704	-31.75108065	249
>		250
-68.03388192	-31.69351137	251
-68.03417056	-31.69367707	252
>		253
-68.03210253	-31.69447959	254
-68.03388192	-31.69351137	255
>		256
-68.67965844	-31.67691525	257
-68.61984808	-31.78910681	258
>		259
-65.1141402	-31.85199802	260
-65.01441851	-31.62889488	261
>		262
-67.87355695	-31.60147296	263
-68.03388192	-31.69351137	264
>		265
-68.03388192	-31.69351137	266
-68.29264159	-31.55271247	267
>		268
-65.12192541	-31.85828607	269
-65.42750276	-31.53498884	270
>		271
-68.58681012	-31.5166113	272
-69.14788704	-31.75108065	273
>		274
-68.58681012	-31.5166113	275
-68.67965844	-31.67691525	276
>		277
-70.83111924	-31.89388905	278
-70.98185124	-31.46937804	279
>		280
-69.27233436	-31.45339179	281
-69.14788704	-31.75108065	282
>		283
-68.28550321	-31.54914328	284
-68.33248972	-31.44043259	285
>		286
-71.46354096	-31.27050909	287
-71.11565064	-33.19322103	288
>		289
-66.39475366	-31.29347354	290
-66.74277967	-31.2113193	291
>		292
-67.74536556	-31.20769062	293
-67.87355695	-31.60147296	294
>		295
-65.42750276	-31.53498884	296
-65.49888659	-31.18401834	297
>		298
-64.3603145	-31.13880858	299
-64.30727877	-31.84368207	300
>		301
-70.40180484	-31.95801288	302
-70.34514048	-31.12184043	303
>		304
-70.34514048	-31.12184043	305
-70.33415164	-31.1181898	306
>		307
-69.30620136	-31.10117319	308
-69.27233436	-31.45339179	309
>		310
-70.33415164	-31.1181898	311
-70.27745669	-31.099355	312
>		313
-70.27745669	-31.099355	314
-70.01926272	-32.01747759	315
>		316
-68.46968196	-31.0943997	317
-68.58681012	-31.5166113	318
>		319
-65.183608	-31.0888399	320
-65.01441851	-31.62889488	321
>		322
-68.33248972	-31.44043259	323
-68.18556585	-31.08514838	324
>		325
-68.18556585	-31.08514838	326
-67.81942421	-31.05181747	327
>		328
-67.81942421	-31.05181747	329
-67.74536556	-31.20769062	330
>		331
-69.72172056	-30.91473225	332
-70.27745669	-31.099355	333
>		334
-69.72172056	-30.91473225	335
-69.46419297	-31.84778169	336
>		337
-67.07027282	-32.97745441	338
-67.67227667	-30.90487302	339
>		340
-66.74277967	-31.2113193	341
-66.7356261	-30.88522908	342
>		343
-66.21929824	-30.87105638	344
-66.39475366	-31.29347354	345
>		346
-67.36056728	-30.79601268	347
-66.6402808	-32.88901895	348
>		349
-65.49888659	-31.18401834	350
-65.44534871	-30.77356131	351
>		352
-69.72172056	-30.91473225	353
-69.23006532	-30.74929137	354
>		355
-69.23006532	-30.74929137	356
-69.30620136	-31.10117319	357
>		358
-68.49480312	-30.74136201	359
-68.46968196	-31.0943997	360
>		361
-65.1508532	-31.09405482	362
-64.6777003	-30.738259	363
>		364
-65.31447836	-30.72002344	365
